ZodiacSign,energyLevel,newExperiences,valuedQuality,importantInRelationships,adaptability,communication,curiosity,personalQuality,preferredEnvironment,emotionManagement,attractiveQuality,leadership,challengeApproach
Géminis,Medio,No me gustan,Libertad personal,Carisma y creatividad,Muy adaptable,Prefiero escuchar,Muy curioso/a,Empatía y sensibilidad,Un espacio intelectualmente estimulante,Las gestiono internamente,Su lealtad y sinceridad,Puedo liderar si es necesario,Perseverar hasta lograr
Géminis,Alto,Abierto,Comodidad y seguridad,Lealtad y fidelidad,Puedo adaptarme,Prefiero escuchar,Algo curioso/a,Lealtad y protección,Uno lleno de estímulos,No suelo expresarlas mucho,Su lealtad y sinceridad,Me siento cómodo/a,Buscar el camino más placentero
Géminis,Bajo,Abierto,Conocimiento y aprendizaje,Empatía y cariño,Puedo adaptarme,Me gusta hablar,Algo curioso/a,Ambición y determinación,Un ambiente tranquilo,Las gestiono internamente,Su creatividad y originalidad,Me siento cómodo/a,Buscar el camino más placentero
Capricornio,Medio,Entusiasta,Conocimiento y aprendizaje,Carisma y creatividad,Puedo adaptarme,No me siento cómodo,Algo curioso/a,Ambición y determinación,Uno lleno de estímulos,No suelo expresarlas mucho,Su lealtad y sinceridad,Puedo liderar si es necesario,Buscar el camino más placentero
Libra,Alto,Entusiasta,Conocimiento y aprendizaje,Lealtad y fidelidad,Puedo adaptarme,Me gusta hablar,No siento una gran curiosidad,Lealtad y protección,Uno lleno de estímulos,No suelo expresarlas mucho,Su lealtad y sinceridad,Puedo liderar si es necesario,Evaluar las opciones con calma
Cáncer,Alto,No me gustan,Libertad personal,Lealtad y fidelidad,Muy adaptable,No me siento cómodo,Algo curioso/a,Lealtad y protección,Un ambiente tranquilo,No suelo expresarlas mucho,Su lealtad y sinceridad,Me siento cómodo/a,Perseverar hasta lograr
Virgo,Medio,Entusiasta,Conocimiento y aprendizaje,Empatía y cariño,Muy adaptable,No me siento cómodo,Algo curioso/a,Lealtad y protección,Un espacio intelectualmente estimulante,Las expreso abiertamente,Su creatividad y originalidad,No me gusta liderar,Buscar el camino más placentero
Sagitario,Medio,Abierto,Conocimiento y aprendizaje,Lealtad y fidelidad,No soy muy flexible,Prefiero escuchar,Algo curioso/a,Lealtad y protección,Un ambiente tranquilo,Las gestiono internamente,Su empatía y apoyo emocional,No me gusta liderar,Perseverar hasta lograr
Piscis,Alto,Entusiasta,Libertad personal,Lealtad y fidelidad,Puedo adaptarme,No me siento cómodo,Muy curioso/a,Empatía y sensibilidad,Un ambiente tranquilo,No suelo expresarlas mucho,Su empatía y apoyo emocional,No me gusta liderar,Evaluar las opciones con calma
Tauro,Medio,Abierto,Conocimiento y aprendizaje,Lealtad y fidelidad,Puedo adaptarme,Prefiero escuchar,Muy curioso/a,Empatía y sensibilidad,Uno lleno de estímulos,Las gestiono internamente,Su creatividad y originalidad,No me gusta liderar,Perseverar hasta lograr
